lineid,buslinenum,bustype,startpoint,endpoint,companyid,headway,firsttime,endtime,headwaypeak,headwaynorm,headwayholi
5200002000,2,일반버스,다대포,부산역,동원,5,05:00,22:05,7,11,11
5200002F00,2(심야),심야버스(일반),다대포,부산역,동원,,22:50,24:10,30,30,30
5200020000,20,일반버스,용호동,서면,시민,5,05:00,22:25,5,8,9
5200200000,200,일반버스,청강리공영차고지,구포시장,세익,8-9,04:40,21:50,9,13,15
5202000000,2000,급행버스,하단역,고현(거제),"태영,동남,동원,동진",,06:00,22:30,25,25,25
5200203000,203,좌석버스(산성),산성,온천장역,산성,20,06:00,22:00,15,15,10
5200210000,210,일반버스,연제공용차고지,민락수변공원,국제,8,04:45,22:15,11,13,15
5200022000,22,일반버스,용호동,성북고개,시민,10,05:00,22:35,12,13,16
5200023000,23,일반버스,감만동,부산진우체국(가야1치안센터),신성,4,04:30,22:45,4,6,8
5200024000,24,일반버스,용호동,서면,시민,4-5,05:00,23:00,3,6,6
5200026000,26,일반버스,감만동,송도혜성아파트,신성,7,04:40,22:40,7,8,10
5200027000,27,일반버스,용호동,충무동,시민,5-6,04:40,22:35,7,7,9
5200029000,29,일반버스,금정공영차고지,안창마을,세진,9,04:50,21:20,9,9,12
5200003000,3,일반버스,다대포,신호주거단지,동진,,05:00,21:50,13,14,18
5200030000,30,일반버스,태종대,수산가공선진화단지,신한,5,04:35,23:10,6,10,14
5200300000,300,일반버스,금정공영차고지,구포시장,"삼신,세진,화신",30,05:00,22:50,22,24,24
5203001000,3001,급행버스,다대포,올림픽교차로환승센터,동원,,05:00,20:50,18,20,22
5203002000,3002,급행버스,강서차고지,서면,"태영, 금진",,05:00,21:30,18,21,24
5203003000,3003,급행버스,태종대,김해공항,신한,,05:00,21:30,35,37,45
5203005000,3005,급행버스,강서공영차고지,코레일사상역,태영,,05:00,20:10,39,44,51
5203006000,3006,급행버스,청강리공영차고지,경제자유구역청,"부일,해동",,05:00,21:00,24,24,24
5203007000,3007,급행버스,강서공영차고지,지사과학단지,태영,,05:00,20:30,29,34,39
5203008000,3008,급행버스,기장국민체육센터,동래역,삼신,,05:20,22:00,12,14,16
5203008F00,3008(심야),급행버스,좌천원자력의학원,동래역,삼신,,,,,,
5200301000,301,일반버스,금정공영차고지,브니엘고등학교,삼신,20,05:00,22:30,35,40,43
5200302000,302,일반버스,용당공영차고지,좌천원자력의학원,삼신,,05:00,22:30,40,45,47
5200307000,307,일반버스,송정,김해공항,일광,15,05:00,21:35,15,23,25
5200031000,31,일반버스,송정,모라주공,"세익,일광",8-9,04:40,21:35,9,9,12
5200033000,33,일반버스,연제공용차고지,만덕,한창,4-5,04:25,22:05,9,9,10
5200033100,33-1,일반버스,연제공용차고지,신라대학교,한창,,05:00,22:05,11,12,16
5200338000,338,일반버스,다대포,모라주공,"동원,동진",40,05:00,21:45,8,11,14
5200036000,36,일반버스,청강리공영차고지,거제역,일광,9-10,05:00,21:40,20,21,23
5200037000,37,일반버스,금정공영차고지,고원3차아파트,삼신,15,05:00,22:20,17,22,22
5200038000,38,일반버스,청강리공영차고지,중앙공원.민주공원,부일,15,04:40,21:50,22,28,35
5200038100,38-1,일반버스,조선통신사역사관,부산역,국제여객,,06:30,09:25,60,60,60
5200039000,39,일반버스,기장교리,남구국민체육센터,부산,10,05:00,22:05,12,13,16
5200040000,40,일반버스,청강리공영차고지,구덕운동장,부일,9-10,04:40,21:50,8,13,14
5200041000,41,일반버스,민락동,충무동,용화,4-5,05:00,22:45,5,8,11
5200042000,42,일반버스,회동동,부산항국제여객터미널,삼화,20,05:10,22:30,12,13,16
5200043000,43,일반버스,회동동,중앙공원.민주공원,삼성,9,04:50,22:20,8,13,15
5200044000,44,일반버스,반여3동,당감4동,일신,6-7,04:50,22:28,5,9,9
5200046000,46,일반버스,구포3동,동래중학교,태진,10,04:55,22:50,14,14,20
5200049000,49,일반버스,금정공영차고지,광안리해수욕장,삼신,6-7,05:00,22:15,8,11,13
5200005100,5-1,일반버스,회동동,충무동,삼성,10-11,04:50,22:20,16,16,20
5200050000,50,일반버스,덕계,법원검찰청,삼신,10,04:50,22:00,13,17,18
5200506000,506,일반버스,반여4동,부산시민공원,삼성,15,05:20,22:40,10,14,16
5200508000,508,일반버스,고신대영도캠퍼스,중앙공원.민주공원,남부,10,05:00,23:16,7,10,13
5200051000,51,일반버스,금정공영차고지,감만2동,화신,7-8,04:50,21:20,6,8,9
5200052000,52,일반버스,반여3동,수정4동,일신,9,05:00,22:20,5,9,10
5200520000,520,일반버스,강서공영차고지,서부지원.서부지청,태영,24,05:00,20:50,60,64,64
5200054000,54,일반버스,연산9동,전포동,삼성,10,04:50,22:30,5,9,9
5200055000,55,일반버스,강서공영차고지,하단,태영,,05:00,21:00,37,37,46
5200057000,57,일반버스,사직동,진시장,학성,4-7,04:25,22:30,8,12,12
5200058000,58,일반버스,강서공영차고지,장림동원로얄듀크,태영,26,05:00,21:30,50,50,50
5200058100,58-1,일반버스,강서공영차고지,하단역,영신,10,04:30,21:40,27,33,37
5200058200,58-2,일반버스,강서공영차고지,사하구청.당리역,태영,15,04:50,22:20,14,15,17
5200583000,583,일반버스,용당동,범일동,"용화,창성",17-18,05:15,22:35,21,27,33
5200059000,59,일반버스,금곡동,충무동,삼진,14,04:40,22:00,13,13,17
5200006000,6,일반버스,고신대영도캠퍼스,괴정시장,남부,5,04:50,22:45,9,10,14
5200061000,61,일반버스,학장동,까치고개,대도,5-7,05:00,20:50,16,20,23
5200062000,62,일반버스,민락동,신라대,오성,6-7,05:00,22:24,8,8,10
5200063000,63,일반버스,청강리공영차고지,부산진구청,일광,7-8,04:30,22:10,8,10,12
5200067000,67,일반버스,개금아파트,엄궁아파트단지,동남,5,05:00,22:25,6,6,8
5200068000,68,일반버스,용당동,하단역,창성,6,04:45,22:30,5,6,8
5200007000,7,일반버스,고신대영도캠퍼스,수산가공선진화단지,남부,12,05:00,22:37,16,17,23
5200070000,70,일반버스,고신대영도캠퍼스,중앙공원.민주공원,남부,13,05:00,22:20,19,22,22
5200071000,71,일반버스,고신대영도캠퍼스,수산가공선진화단지,남부,11,04:55,22:43,17,17,18
5200073000,73,일반버스,정관,반송,세진,30,05:00,22:00,65,65,65
5200077000,77,일반버스,학장동,장전역,대도,7-8,04:55,22:40,8,11,14
5200008000,8,일반버스,태종대,서부터미널,신한,6-7,04:48,22:13,6,9,12
5200080000,80,일반버스,금정공영차고지,부산진시장,"삼신,세진",9-10,04:50,22:00,6,8,10
5200081000,81,일반버스,연제공용차고지,서대신금호아파트,동원,4-5,04:40,22:40,3,6,6
5200082000,82,일반버스,청학동,전포화신아파트,유한,4-7,04:55,22:40,5,9,10
5200083000,83,일반버스,민락동,부전시장,용화,5-6,05:00,22:50,5,8,11
5200083100,83-1,일반버스,민락동,사직동,"용화,학성",16,05:00,23:00,24,26,26
5200085000,85,일반버스,청학고개,전포역,유한,7,04:50,22:50,10,15,19
5200086000,86,일반버스,연산9동,충무동,삼성,10,04:50,22:20,7,12,14
5200087000,87,일반버스,연산9동,까치고개,삼성,8,04:50,22:20,5,8,10
5200088000,88(A),일반버스,태종대,당감주공,신한,7-8,04:46,21:50,21,25,34
